mWord,Cat,SV
Metabolism,Medical,Ämnesomsättning
Genome,Medical,Arvmassa
Crown,Medical,Hjässa
Secretion,Medical,Utsöndring
EyeHole,Medical,Ögonhåla
Regime,Municipality,Statsskick
Government,Municipality,Regering
County,Municipality,Län
Representative,Municipality,Ombud
Welfare,Municipality,Välfärd
Internally displaced person,Migration,Internflykting
Processing,Migration,Handläggning
Residence permit,Migration,Uppehållstillstånd
Stateless,Migration,Statslös
Custody,Migration,Förvar
Precedent,Law,Prejudikat
Compensation,Law,Skadestånd
Plaintiff,Law,Målsägande
Defendant,Law,Tilltalad
Legislation,Law,Lagstiftning
