mWord,cat,ES
Metabolism,Medical,Metabolismo
Genome,Medical,Genoma
Crown,Medical,Coronilla
Secretion,Medical,Secreción
EyeHole,Medical,Órbita
Regime,Municipality,Régimen
Government,Municipality,Gobierno
County,Municipality,Provincia
Representative,Municipality,Representante
Welfare,Municipality,Bienestar
Internally displaced person,Migration,Desplazado interno
Processing,Migration,Tramitación
Residence permit,Migration,Permiso de residencia
Stateless,Migration,Apátrida
Custody,Migration,Custodia
Precedent,Law,Precedente
Compensation,Law,Indemnización
Plaintiff,Law,Demandante
Defendant,Law,Acusado
Legislation,Law,Legislación
