English,Category,SV,ES,EN
Civics,Society,Samhällskunskap,Ciencias sociales,Civics
Labor movement,Society,Arbetarrörelse,Movimiento obrero,Labor movement
Political science,Society,Statsvetenskap,Ciencia política,Political science
Sociology,Society,Sociologi,Sociología,Sociology
Constitution,Society,Grundlag,Ley orgánica,Constitution
State of government,Society,Statisskick,Régimen,State of government
Freeadoms and rights,Society,Fri- och rättigheter,Libertades y derechos,Freeadoms and rights
Citizen,Society,Medborgare,Ciudadano,Citizen
Parliamentary election,Society,Riksdagsval,Elecciones parlamentarias,Parliamentary election
Electoral law,Society,Vallag,Ley electoral,Electoral law
The Form of Government,Society,Regeringsformen,La ley reguladora del gobierno,The Form of Government
Gender-neutral,Society,Könsneutral,Neutralidad de género,Gender-neutral
Discrimination,Society,Diskriminering,Discriminación,Discrimination
Sexual orientation,Society,Sexuell läggning,Orientación sexual,Sexual orientation
National minorities,Society,Nationella minoriteter,Minorías nacionales,National minorities
The European Union (EU),Society,Europeiska unionen (EU),La Unión Europea (UE),The European Union (EU)
United Nations (UN),Society,Förenta nationerna (FN),Organización de las Naciones Unidas (ONU),United Nations (UN)
The European Council,Society,Europarådet,El consejo europeo,The European Council
Referendum,Society,Folkomröstning,Referéndum,Referendum
The Riksdag Act,Society,Riksdagsordningen RO,La ley parlamentaria sueca,The Riksdag Act
Parliamentarism,Society,Parlamentarism,Parlamentarismo,Parliamentarism
Form of government,Society,Styrelseskick,Régimen,Form of government
Representative democracy,Society,Representativ demokrati,Democracia representativa,Representative democracy
Head of state,Society,Statschef,Jefe de Estado,Head of state
Freedom of opinion,Society,Fri åsiktsbilding,Libertad de opinión,Freedom of opinion
Assault,Society,Övergrepp,Abuso,Assault
Union freedoms,Society,Fackliga friheter,Libertades sindicales,Union freedoms
Copyright,Society,Upphovsrätt,Derecho de autor,Copyright
Freedom of enterprise,Society,Näringsfrihet,Libertad de empresa,Freedom of enterprise
Professional freedom,Society,Yrkesfrihet,Libertad profesional,Professional freedom
